NameCorp,Chapter,SICDivision,SICIndustryGroup,SICMajGroup,SICPrimary,Voluntary,YearFiled,Date10k1Before,Sales1Before,EbitBefore,EbitCurrDollars,EbitdaBefore,Assets1Before,Liab1Before
"Choice One Communications, Inc.",11,"E: Transportation, Communications, Electric, Gas",481,48 Communications,4813,voluntary,2004,2003-12-31,322.891,-29.476,-45.8270737139864,35.215,383.468,732.473
Circle K Corp.,11,G: Retail Trade,541,54 Food Stores,5411,voluntary,1990,1990-04-30,3686.314,-53.261,-122.350658026316,54.07,1274.29,1678.357
"Circuit City Stores, Inc.",11,G: Retail Trade,573,"57 Home Furniture, Furnishings, and Equipment Stores",5731,voluntary,2008,2008-02-29,11744.0,-349.387,-488.21569415725,-161.766,3746.0,2243.0
CIT Group Inc.,11,"H: Finance, Insurance, And Real Estate",617,61 Non-depository Credit Institutions,6172,voluntary,2009,2008-12-31,2959.4,2821.1,3872.7752853839,3966.3,80448.9,72279.8
Citadel Broadcasting Corporation,11,"E: Transportation, Communications, Electric, Gas",483,48 Communications,4832,voluntary,2009,2008-12-31,863.121,203.943,280.359752528949,249.207,2432.97,2732.0
Cityscape Financial Corp.,11,"H: Finance, Insurance, And Real Estate",616,61 Non-depository Credit Institutions,6162,voluntary,1998,1997-12-31,34.032,-65.893,-119.249053176829,-64.531,398.6,575.0
"Claires Stores, Inc.",11,G: Retail Trade,560,56 Apparel And Accessory Stores,5600,voluntary,2018,2018-02-03,1337.61,149.903,178.281096239692,195.073,2000.723,2455.999
"Classic Communications, Inc.",11,"E: Transportation, Communications, Electric, Gas",484,48 Communications,4841,voluntary,2001,2000-12-31,182.3,-18.84,-31.5200421645998,69.684,743.9,624.0
Cloud Peak Energy Inc.,11,B: Mining,122,12 Coal Mining,1221,voluntary,2019,2018-12-31,832.405,-705.396,-817.516426174968,-650.183,928.656,634.982
"Clovis Oncology, Inc.",11,D: Manufacturing,283,28 Chemicals and Allied Products,2834,voluntary,2022,2021-12-31,148.757,-219.99,-219.99,-211.494,472.833,751.673
"Cobalt International Energy, Inc.",11,B: Mining,131,13 Oil And Gas Extraction,1311,voluntary,2017,2016-12-31,16.805,-2137.012,-2572.80731516607,-1694.479,2230.478,3071.812
"Coho Energy, Inc. (1999)",11,B: Mining,131,13 Oil And Gas Extraction,1311,voluntary,1999,1998-12-31,68.759,-182.879,-324.823091340515,-154.744,350.068,411.311
"Coho Energy, Inc. (2002)",11,B: Mining,131,13 Oil And Gas Extraction,1311,voluntary,2002,2001-12-31,76.9,23.458,39.157840416198,41.269,377.143,308.411
Coleco Industries Inc.,11,D: Manufacturing,394,39 Miscellaneous Manufacturing Industries,3944,voluntary,1988,1987-12-31,504.483,-48.272,-120.902825181435,-26.006,535.557,619.828
"Colonial Bancgroup, Inc.",11,"H: Finance, Insurance, And Real Estate",602,60 Depository Institutions,6022,voluntary,2009,2008-12-31,1589.723,-370.531,-509.367712862436,-312.764,25816.306,24178.0
Columbia Gas System Inc.,11,"E: Transportation, Communications, Electric, Gas",492,"49 Electric, Gas, And Sanitary Services",4923,voluntary,1991,1990-12-31,2357.9,262.096,571.140282760646,510.928,6196.3,3009.8
"Combustion Equipment Associates, Inc.",11,D: Manufacturing,382,"38 Measuring, Analyzing and Controlling Instruments; Photographic, Medical",3823,voluntary,1980,1980-03-31,119.893,4.638,16.2328359198113,7.771,177.991,103.84
Cone Mills Corp,11,D: Manufacturing,221,22 Textile Mill Products,2211,voluntary,2003,2002-12-29,445.6,30.703,49.2038784611231,50.218,318.3,225.0
"Conseco, Inc.",11,"H: Finance, Insurance, And Real Estate",631,63 Insurance Carriers,6311,voluntary,2002,2001-12-31,8108.1,1211.7,1987.99847927032,2059.7,61392.3,54724.8
Consolidated Freightways Corp.,11,"E: Transportation, Communications, Electric, Gas",421,42 Motor Freight Transportation And Warehousing,4213,voluntary,2002,2001-12-31,2237.703,-91.087,-149.361040546961,-36.468,880.6,732.341
Constar International Inc. (2008),11,D: Manufacturing,308,30 Rubber and Miscellaneous Plastics Products,3080,voluntary,2008,2007-12-31,881.568,18.778,26.5140535965747,47.888,472.289,544.596
Continental Airlines Corp. (1983),11,"E: Transportation, Communications, Electric, Gas",451,45 Transportation By Air,4512,voluntary,1983,1982-12-31,1427.015,-34.593,-101.957285213505,52.357,1053.069,1003.2
"Continental Airlines, Inc. (1990)",11,"E: Transportation, Communications, Electric, Gas",451,45 Transportation By Air,4512,voluntary,1990,1989-12-31,6649.924,175.867,390.110597899851,384.506,3933.62,3846.886
Continental Information Systems Corp,11,I: Services,737,73 Business Services,7379,voluntary,1989,1988-02-29,547.497,137.846,337.838804805946,309.79,1925.718,1855.748
Cook United Inc. (1984),11,G: Retail Trade,531,53 General Merchandise Stores,5311,voluntary,1984,1984-01-28,555.465,-12.841,-36.1934499240266,-2.755,166.161,158.821
"Cooperative Bankshares, Inc.",7,"H: Finance, Insurance, And Real Estate",603,60 Depository Institutions,6036,voluntary,2009,2008-12-31,56.858,-35.613,-48.9570706855026,-34.432,950.954,931.0
"Cooper-Standard Holdings, Inc.",11,D: Manufacturing,371,37 Transportation Equipment,3714,voluntary,2009,2008-12-31,2594.6,71.809,98.7155894997684,211.914,1818.3,1803.0
Coram Healthcare Corp.,11,I: Services,808,80 Health Services,8082,voluntary,2000,1999-12-31,521.196,-23.585,-40.5090118344907,0.307,403.222,423.269
"Costilla Energy, Inc.",11,B: Mining,131,13 Oil And Gas Extraction,1311,voluntary,1999,1998-12-31,63.602,-81.195,-143.528483710542,-48.748,210.954,257.0
"Covad Communications Group, Inc.",11,"E: Transportation, Communications, Electric, Gas",481,48 Communications,4813,voluntary,2001,2000-12-31,158.7,-756.09,-1264.25489425352,-577.665,1511.5,1694.0
Covia Holdings Corporation,11,B: Mining,140,"14 Mining and Quarrying of Nonmetallic Minerals, Except Fuels",1400,voluntary,2020,2019-12-31,1595.446,-98.301,-113.172154435467,125.267,2446.518,2269.354
Crown Pacific Partners L.P.,11,D: Manufacturing,242,"24 Lumber And Wood Products, Except Furniture",2421,voluntary,2003,2002-12-31,484.2,4.94,7.98136733805117,32.902,613.0,575.0
Crown Vantage Inc.,11,D: Manufacturing,262,26 Paper and Allied Products,2621,voluntary,2000,1999-12-26,739.0,-24.025,-41.6503967581776,38.368,556.766,795.814
"Crystal Brands, Inc.",11,D: Manufacturing,232,23 Apparel And Other Finished Products Made From Fabrics And Similar Materi,2329,voluntary,1994,1994-01-01,444.3,-36.271,-73.6328590082079,-24.953,248.437,340.556
Crystal Oil Co.,11,B: Mining,131,13 Oil And Gas Extraction,1311,voluntary,1986,1985-12-31,94.366,-5.184,-13.9491899184044,47.441,341.694,372.857
"CTC Communications Group, Inc.",11,I: Services,738,73 Business Services,7385,voluntary,2002,2001-12-31,299.438,-99.917,-163.569033916161,-22.915,367.4,385.675034
Cumulus Media Inc.,11,"E: Transportation, Communications, Electric, Gas",483,48 Communications,4832,voluntary,2017,2016-12-31,1141.4,115.598,139.089790796574,202.865,2412.691,2904.429
Dailey International Inc.,11,B: Mining,138,13 Oil And Gas Extraction,1389,voluntary,1999,1998-12-31,132.317,-15.637,-27.9242761070999,4.795,272.173,312.0
Daisy Systems Corp.,11,D: Manufacturing,357,35 Industrial and Commercial Machinery and Computer Equipment,3577,involuntary,1990,1989-09-30,153.711,-74.431,-170.982178846749,-31.188,162.1,157.0
Dan River Inc.,11,D: Manufacturing,220,22 Textile Mill Products,2200,voluntary,2004,2004-01-03,477.448,-12.028,-19.0494894130203,24.403,432.466,353.0
Dana Corporation,11,D: Manufacturing,371,37 Transportation Equipment,3714,voluntary,2006,2005-12-31,8699.0,200.0,297.094094094094,558.0,7386.0,6841.0
Dayton Superior Corporation,11,D: Manufacturing,331,33 Primary Metal Industries,3317,voluntary,2009,2008-12-31,475.871,48.631,67.6995070684803,72.584,300.087,406.0
DDI Corp.,11,D: Manufacturing,367,36 Electronic And Other Electrical Equipment And Components,3672,voluntary,2003,2002-12-31,248.8,-20.336,-32.695903531961,0.946,221.2,385.0
Dean Foods Company,11,D: Manufacturing,202,20 Food and Kindred Products,2020,voluntary,2019,2018-12-31,1655.278,-27.18,-31.3634974806382,126.276,2118.492,1803.76
DecisionOne Holdings Corp.,11,I: Services,737,73 Business Services,7373,voluntary,2000,1999-06-30,725.943,4.486,7.8411739811543,45.297,455.887,923.043
Delphi Corporation,11,D: Manufacturing,371,37 Transportation Equipment,3714,voluntary,2005,2004-12-31,28622.0,205.0,305.438679718876,1349.0,16593.0,19934.0
"Delta Air Lines, Inc.",11,"E: Transportation, Communications, Electric, Gas",451,45 Transportation By Air,4512,voluntary,2005,2004-12-31,15002.0,-1474.0,-2200.59747484909,-230.0,21801.0,27320.0
Delta Financial Corporation,11,"H: Finance, Insurance, And Real Estate",616,61 Non-depository Credit Institutions,6163,voluntary,2007,2006-12-31,512.102,368.154,520.319060657143,371.67,6589.0,6439.551
Delta Petroleum Corporation,11,B: Mining,131,13 Oil And Gas Extraction,1311,voluntary,2011,2010-12-31,146.805,-102.42,-134.699691321919,18.209,1024.112,512.517
Denbury Resources Inc.,11,B: Mining,131,13 Oil And Gas Extraction,1311,voluntary,2020,2019-12-31,1274.883,332.314,380.661588561989,566.13,4691.867,3279.608
Dendreon Corporation,11,D: Manufacturing,283,28 Chemicals and Allied Products,2834,voluntary,2014,2013-12-31,283.746,-186.262,-234.095992877439,-155.434,434.401,682.052
Dex One Corporation (2013),11,I: Services,731,73 Business Services,7310,voluntary,2013,2012-12-31,1300.009,137.529,175.35622521942,556.181,2835.418,2794.809
"Diamond Offshore Drilling, Inc.",11,B: Mining,138,13 Oil And Gas Extraction,1381,voluntary,2020,2019-12-31,980.644,-281.258,-325.585460476073,74.338,5834.044,2601.834
Ditech Holding Corporation (2019),11,"H: Finance, Insurance, And Real Estate",616,61 Non-depository Credit Institutions,6162,voluntary,2019,2018-12-31,846.213,102.124,119.908918678989,138.292,11284.526,11302.649
Doskocil Cos Inc.,11,D: Manufacturing,209,20 Food and Kindred Products,2099,voluntary,1990,1989-12-30,482.413,18.345,42.3056796037296,32.463,461.52,405.216
Dow Corning Corporation,11,D: Manufacturing,282,28 Chemicals and Allied Products,2821,voluntary,1995,1994-12-31,2204.6,318.9,621.869666885677,508.6,4093.2,3299.1
Downey Financial Corp.,7,"H: Finance, Insurance, And Real Estate",603,60 Depository Institutions,6035,voluntary,2008,2007-12-31,880.097,-136.805,-191.164376577213,-36.709,13409.057,12074.64
DR Holdings Inc. of Delaware,11,D: Manufacturing,357,35 Industrial and Commercial Machinery and Computer Equipment,3571,voluntary,1992,1991-12-31,1212.744,50.547,106.474080617459,174.624,1149.563,1875.416
Dreco Energy Services Ltd.,11,D: Manufacturing,353,35 Industrial and Commercial Machinery and Computer Equipment,3533,voluntary,1982,1981-08-31,243.064,33.046,101.112924350515,35.652,195.057,139.394
Drypers Corp.,11,D: Manufacturing,267,26 Paper and Allied Products,2670,voluntary,2000,1999-12-31,360.36,8.98,15.3174543678161,22.994,337.68,298.0
"Dura Automotive Systems, Inc.",11,D: Manufacturing,371,37 Transportation Equipment,3714,voluntary,2006,2005-12-31,2344.139,93.183,137.048735634291,172.695,2075.209,1730.638
Dyersburg Corp.,11,D: Manufacturing,221,22 Textile Mill Products,2211,voluntary,2000,1999-10-02,311.46,6.892,11.7761941508348,22.713,322.934,233.034
"Dynegy Holdings, LLC",11,"E: Transportation, Communications, Electric, Gas",491,"49 Electric, Gas, And Sanitary Services",4911,voluntary,2011,2010-12-31,2323.0,142.0,186.293480086638,534.0,10013.0,7267.0
"e.spire Communications, Inc.",11,"E: Transportation, Communications, Electric, Gas",481,48 Communications,4813,voluntary,2001,2000-12-31,344.2,-160.459,-270.282348598184,-51.034,885.6,1130.042
Eagle Bulk Shipping Inc.,11,"E: Transportation, Communications, Electric, Gas",441,44 Water Transportation,4412,voluntary,2014,2013-12-31,202.439528,-1.382,-1.72449024603535,73.622,1723.414301,1192.219437
"Eagle Food Centers, Inc.",11,G: Retail Trade,541,54 Food Stores,5411,voluntary,2000,2000-01-29,932.789,7.365,12.8734387809187,28.146,260.416,238.0
"Eagle Picher Holdings, Inc. (2005)",11,D: Manufacturing,371,37 Transportation Equipment,3711,voluntary,2005,2004-11-30,707.337,28.856,44.0101450770812,69.544,598.774,569.73
Eagle-Picher Industries Inc. (1991),11,D: Manufacturing,355,35 Industrial and Commercial Machinery and Computer Equipment,3559,voluntary,1991,1990-11-30,699.347,47.704,105.188737652303,71.931,413.695,585.177
Eastern Airlines Inc.,11,"E: Transportation, Communications, Electric, Gas",451,45 Transportation By Air,4512,voluntary,1989,1988-12-31,3806.098,-209.437,-508.260615609158,111.834,3673.478,3600.277
Eastman Kodak Company,11,D: Manufacturing,386,"38 Measuring, Analyzing and Controlling Instruments; Photographic, Medical",3861,voluntary,2012,2011-12-31,6022.0,371.0,485.790426400194,743.0,4678.0,7028.0
"Eddie Bauer Holdings, Inc.",11,G: Retail Trade,560,56 Apparel And Accessory Stores,5600,voluntary,2009,2009-01-03,1023.437,12.22,16.8143687528975,52.737,596.92,524.0
Edge Petroleum Corporation,11,B: Mining,131,13 Oil And Gas Extraction,1311,voluntary,2009,2008-12-31,158.777,-330.467,-453.661490282146,-242.126,357.597,260.0
"Edison Brothers Stores, Inc. (1995)",11,G: Retail Trade,560,56 Apparel And Accessory Stores,5600,voluntary,1995,1995-01-28,1476.4,29.1,56.229119140625,98.7,893.8,507.0
Edison Mission Energy,11,"E: Transportation, Communications, Electric, Gas",491,"49 Electric, Gas, And Sanitary Services",4911,voluntary,2012,2011-12-31,2180.0,5.0,6.46332115278244,315.0,8323.0,6659.0
Edisto Resources Corp.,11,B: Mining,131,13 Oil And Gas Extraction,1311,voluntary,1992,1991-12-31,345.162,-75.218,-157.436366332863,38.13,359.522,285.327
Einstein Noah Bagel Corp,11,G: Retail Trade,581,58 Eating and Drinking Places,5812,voluntary,2000,1999-12-26,375.549,-1.29,-2.23507373029772,25.244,361.26,246.0
El Paso Electric Co.,11,"E: Transportation, Communications, Electric, Gas",491,"49 Electric, Gas, And Sanitary Services",4911,voluntary,1992,1991-12-31,462.405,40.244,86.4902133816075,98.17,1569.549,1679.519
El Paso Refinery LP,11,D: Manufacturing,291,29 Petroleum Refining And Related Industries,2911,voluntary,1992,1991-12-31,344.681,-28.08,-58.7733410437235,-21.619,298.835,224.963
Encompass Services Corporation,11,C: Construction,170,17 Construction Special Trade Contractors,1700,voluntary,2002,2001-12-31,3904.735,87.836,143.791843861004,161.743,2401.3,1435.593
Endeavour International Corporation,11,B: Mining,131,13 Oil And Gas Extraction,1311,voluntary,2014,2013-12-31,337.664,60.482,75.6039647142562,203.53,1524.842,1462.751
Endo International plc,11,D: Manufacturing,283,28 Chemicals and Allied Products,2834,voluntary,2022,2021-12-31,2993.206,856.613,858.423574762553,1288.994,8767.415,10011.401
"Energy Conversion Devices, Inc.",11,D: Manufacturing,367,36 Electronic And Other Electrical Equipment And Components,3674,voluntary,2012,2011-06-30,232.546,-52.441,-68.3656609857553,-34.396,388.478,363.429
Energy Future Holdings Corp.,11,"E: Transportation, Communications, Electric, Gas",491,"49 Electric, Gas, And Sanitary Services",4911,voluntary,2014,2013-12-31,5899.0,-7.0,-8.76349379091584,1348.0,36446.0,49701.0
Energy XXI Ltd,11,B: Mining,138,13 Oil And Gas Extraction,1382,voluntary,2016,2015-06-30,1405.452,-2381.598,-2954.30990260009,-1625.996,4690.829,5419.551
Enron Corp.,11,"H: Finance, Insurance, And Real Estate",621,"62 Security And Commodity Brokers, Dealers, Exchanges, And Services",6211,voluntary,2001,2000-12-31,100789.0,1953.0,3280.38789473684,2808.0,65503.0,50715.0
"Entergy New Orleans, Inc.",11,"E: Transportation, Communications, Electric, Gas",491,"49 Electric, Gas, And Sanitary Services",4911,voluntary,2005,2004-12-31,735.868,57.939,86.4996045422535,87.596,662.774,488.532
"EOTT Energy Partners, L.P.",11,F: Wholesale Trade,517,51 Wholesale Trade-non-durable Goods,5171,voluntary,2002,2001-12-31,8608.972,47.522,77.795846850524,83.6,1100.5,1053.224
EP Energy Corporation (EP Energy LLC),11,B: Mining,131,13 Oil And Gas Extraction,1311,voluntary,2019,2018-12-31,1324.0,-718.0,-828.069004375432,-211.0,4181.0,4780.0
Erickson Incorporated,11,D: Manufacturing,372,37 Transportation Equipment,3720,voluntary,2016,2015-12-31,297.52,17.3,21.2741838717563,59.614,601.653,512.36
"Ernst Home Center, Inc.",11,G: Retail Trade,521,"52 Building Materials, Hardware, Garden Supply, And Mobile Home Dealers",5211,voluntary,1996,1995-10-28,572.157,-29.83,-56.39143,-14.826,308.7,233.118
"eToys, Inc.",11,G: Retail Trade,596,59 Miscellaneous Retail,5961,voluntary,2001,2000-03-31,151.036,-193.027,-325.140945056754,-158.73,425.158,210.0
"EV Energy Partners, L.P.",11,B: Mining,131,13 Oil And Gas Extraction,1311,voluntary,2018,2017-12-31,225.693,-119.049,-141.02554442298,9.205,1441.805,813.793
"EXCO Resources, Inc.",11,B: Mining,131,13 Oil And Gas Extraction,1311,voluntary,2018,2017-12-31,283.646,18.598,22.2693242989184,70.512,840.347,1686.546
Exide Technologies (2002),11,D: Manufacturing,369,36 Electronic And Other Electrical Equipment And Components,3690,voluntary,2002,2002-03-31,2428.55,69.755,115.145020773081,169.272,1915.9,2453.594
Exide Technologies (2013),11,D: Manufacturing,369,36 Electronic And Other Electrical Equipment And Components,3690,voluntary,2013,2013-03-31,2971.698,18.134,23.0493558911196,96.834,2004.43,1850.498
"Exodus Communications, Inc.",11,I: Services,738,73 Business Services,7389,voluntary,2001,2000-12-31,818.4,-125.0,-208.074172742569,51.802,3894.4,3430.0
"Extraction Oil & Gas, Inc.",11,B: Mining,131,13 Oil And Gas Extraction,1311,voluntary,2020,2019-12-31,906.635,-1362.071,-1568.12758328064,-763.805,2926.957,2242.581
F & M Distributors Inc.,11,G: Retail Trade,533,53 General Merchandise Stores,5331,voluntary,1994,1994-01-29,721.847,22.534,44.6761763393454,30.3,328.585,254.883
Fairfield Communities Inc.,11,"H: Finance, Insurance, And Real Estate",655,65 Real Estate,6552,voluntary,1990,1989-12-31,151.882,43.584,96.895883505618,48.322,944.942,859.939
"FairPoint Communications, Inc.",11,"E: Transportation, Communications, Electric, Gas",481,48 Communications,4813,voluntary,2009,2008-12-31,1274.619,259.213,355.844776877891,514.245,3334.493,3310.701
"Family Golf Centers, Inc.",11,I: Services,799,79 Amusement And Recreation Services,7990,voluntary,2000,1999-12-31,154.869,-31.557,-54.6123785947522,-9.08,491.386,339.0
"Farmland Industries, Inc.",11,F: Wholesale Trade,515,51 Wholesale Trade-non-durable Goods,5150,voluntary,2002,2001-08-31,11763.442,37.827,62.4412687374861,151.458,2737.2,1936.0
Federal-Mogul Corporation,11,D: Manufacturing,371,37 Transportation Equipment,3714,voluntary,2001,2000-12-31,6013.2,449.1,750.093037141249,697.5,10255.0,8072.3
"Federated Department Stores, Inc.",11,G: Retail Trade,531,53 General Merchandise Stores,5311,voluntary,1990,1989-01-28,6545.7,149.723,348.80170510989,259.527,7912.8,6782.926
"Ferrellgas Partners, L.P. (Ferrellgas Partners Finance Corp.)",11,G: Retail Trade,590,59 Miscellaneous Retail,5900,voluntary,2021,2020-07-31,1497.826,156.594,177.675181847375,232.786,1668.19,2876.458
Fibermark Inc.,11,D: Manufacturing,263,26 Paper and Allied Products,2631,voluntary,2004,2003-12-31,397.411,14.744,23.350987022412,29.692,399.707,469.0
Fine Host Corporation,11,G: Retail Trade,581,58 Eating and Drinking Places,5812,voluntary,1999,1998-12-30,327.121,-9.357,-16.9027968898357,0.7,243.123,216.0
"Finlay Enterprises, Inc.",11,G: Retail Trade,594,59 Miscellaneous Retail,5944,voluntary,2009,2009-01-31,754.305,-67.832,-93.2484210467809,-51.921,567.629,561.0
"Finova Group, Inc.",11,"H: Finance, Insurance, And Real Estate",615,61 Non-depository Credit Institutions,6153,voluntary,2001,2000-12-31,1601.888,66.039,111.238235431328,155.683,12089.086,11305.0
First Capital Holdings Corp.,11,"H: Finance, Insurance, And Real Estate",631,63 Insurance Carriers,6311,involuntary,1991,1990-12-31,980.684,56.717,124.140379417404,56.717,9675.163,9291.315
First Mariner Bancorp,11,"H: Finance, Insurance, And Real Estate",602,60 Depository Institutions,6022,voluntary,2014,2013-12-31,102.61,9.034,11.4202771859733,11.944,1015.829,1042.687
First Merchants Acceptance Corporation,11,"H: Finance, Insurance, And Real Estate",614,61 Non-depository Credit Institutions,6141,voluntary,1997,1996-12-31,100.7,40.468,74.8335264548287,41.386,339.6,245.0
"First National Bancshares, Inc.",7,"H: Finance, Insurance, And Real Estate",602,60 Depository Institutions,6021,voluntary,2010,2009-12-31,18.073,-36.176,-48.9870301078114,-35.395,717.689,722.0
FirstEnergy Solutions Corp.,11,"E: Transportation, Communications, Electric, Gas",491,"49 Electric, Gas, And Sanitary Services",4911,voluntary,2018,2017-12-31,14017.0,-35.0,-41.625840499451,74.0,5514.0,7584.0
"FLAG Telecom Holdings, Ltd",11,"E: Transportation, Communications, Electric, Gas",481,48 Communications,4813,voluntary,2002,2001-12-31,80.081,-113.103,-186.699839215795,18.807,3476.7,3047.0
"Flagstar Companies, Inc.",11,G: Retail Trade,581,58 Eating and Drinking Places,5812,voluntary,1997,1996-12-31,2542.3,156.392,289.200476161994,286.34,1687.4,2914.897
"Fleetwood Enterprises, Inc.",11,D: Manufacturing,371,37 Transportation Equipment,3716,voluntary,2009,2008-04-27,1659.98,-12.627,-17.6194439069111,5.368,625.571,539.0
"Flooring America, Inc.",11,G: Retail Trade,570,"57 Home Furniture, Furnishings, and Equipment Stores",5700,voluntary,2000,2000-02-05,762.808,-43.908,-75.5902707424594,-31.22,342.549,252.0
"FLYi, Inc.",11,"E: Transportation, Communications, Electric, Gas",451,45 Transportation By Air,4512,voluntary,2005,2004-12-31,491.685,-235.372,-353.530888076923,-203.995,677.658,510.524
"Foamex International, Inc. (2005)",11,D: Manufacturing,308,30 Rubber and Miscellaneous Plastics Products,3086,voluntary,2005,2005-01-02,1266.394,53.852,80.3979479074447,76.752,645.711,1004.0
Focal Communications Corporation,11,"E: Transportation, Communications, Electric, Gas",481,48 Communications,4812,voluntary,2002,2001-12-31,332.385,-125.399,-205.738236611388,-25.049,728.4,559.171
Forbes Energy Services Ltd.,11,B: Mining,138,13 Oil And Gas Extraction,1389,voluntary,2017,2016-12-31,116.205,-59.024,-72.1389320825732,-6.65,312.881,340.109
Forcenergy Inc,11,B: Mining,131,13 Oil And Gas Extraction,1311,voluntary,1999,1998-12-31,273.549,-267.989,-482.050492321212,-122.133,678.468,779.0
Foresight Energy LP,11,B: Mining,122,12 Coal Mining,1220,voluntary,2020,2019-12-31,841.517,-21.515,-24.7393117602619,157.227,2119.119,1847.488
"Forstmann & Company, Inc.",11,D: Manufacturing,220,22 Textile Mill Products,2200,voluntary,1995,1994-10-30,237.085,23.308,45.1549900522193,35.253,229.3,191.0
Forum Group Inc.,11,I: Services,836,83 Social Services,8361,involuntary,1991,1990-03-31,108.835,-21.477,-47.2871600074184,-13.953,526.611,403.748
Fountain View Inc.,11,I: Services,805,80 Health Services,8051,voluntary,2001,2000-12-31,301.911,29.474,49.2278828249859,45.453,385.5,306.0
FoxMeyer Health Corp. (FoxMeyer Drug Co. only),11,F: Wholesale Trade,512,51 Wholesale Trade-non-durable Goods,5122,voluntary,1996,1996-03-31,5487.0,0.498,0.939637037507947,25.272,1577.1,1177.241
"FPA Medical Management, Inc.",11,I: Services,809,80 Health Services,8093,voluntary,1998,1997-12-31,1166.134,55.881,101.625693363971,83.67,831.2,649.0
"Fretter, Inc.",11,G: Retail Trade,573,"57 Home Furniture, Furnishings, and Equipment Stores",5731,voluntary,1996,1995-01-31,858.849,-2.17,-4.08142896070976,13.904,468.0,393.0
"Friede Goldman Halter, Inc.",11,D: Manufacturing,353,35 Industrial and Commercial Machinery and Computer Equipment,3533,voluntary,2001,2000-12-31,705.09,-88.944,-149.227316947428,-60.991,822.014,612.0
FriendFinder Networks Inc.,11,I: Services,737,73 Business Services,7370,voluntary,2013,2012-12-31,314.379,56.101,71.1111663812359,73.116,452.153,628.567
"Frontier Airlines Holdings, Inc. (2008)",11,"E: Transportation, Communications, Electric, Gas",451,45 Transportation By Air,4512,voluntary,2008,2008-03-31,1398.981,-11.415,-15.8462944574369,23.287,1249.971,1097.852
Frontier Communications Corporation,11,"E: Transportation, Communications, Electric, Gas",481,48 Communications,4813,voluntary,2020,2019-12-31,8107.0,1466.0,1697.04785306702,3246.0,17488.0,21882.0
Frontline Capital Group,11,"H: Finance, Insurance, And Real Estate",653,65 Real Estate,6531,voluntary,2002,2001-12-31,470.707,-51.937,-85.6850794274597,18.165,280.8,760.0
"Fruit of the Loom, Ltd.",11,D: Manufacturing,225,22 Textile Mill Products,2250,voluntary,1999,1999-01-02,2170.3,197.6,348.467541295306,298.4,2289.8,1741.0
FSC Corporation,11,D: Manufacturing,291,29 Petroleum Refining And Related Industries,2911,involuntary,1981,1980-12-31,156.237,26.35,83.912027360515,31.72,302.581,276.931
"FTD Companies, Inc.",11,G: Retail Trade,596,59 Miscellaneous Retail,5960,voluntary,2019,2018-12-31,1014.244,-1.069,-1.2386674357683,13.87,386.98,388.38
"FTS International, Inc.",11,B: Mining,138,13 Oil And Gas Extraction,1389,voluntary,2020,2019-12-31,776.6,18.6,21.2095597049332,108.6,639.3,601.6
"Furniture Brands International, Inc. (2013)",11,D: Manufacturing,251,25 Furniture And Fixtures,2510,voluntary,2013,2012-12-29,1072.324,-26.719,-33.8678322051343,-11.42,618.441,563.643
"Galey & Lord, Inc. (2002)",11,D: Manufacturing,221,22 Textile Mill Products,2211,voluntary,2002,2001-09-29,849.993,42.636,71.1711861192351,78.865,764.7,778.0
"Galey & Lord, Inc. (2004)",11,D: Manufacturing,221,22 Textile Mill Products,2211,voluntary,2004,2003-09-27,436.817,-12.505,-19.5854695778364,11.031,566.276,779.0
Garrett Motion Inc.,11,D: Manufacturing,371,37 Transportation Equipment,3714,voluntary,2020,2019-12-31,3248.0,464.0,529.098693714461,537.0,2275.0,4408.0
Gastar Exploration Inc.,11,B: Mining,131,13 Oil And Gas Extraction,1311,voluntary,2018,2017-12-31,76.587,4.197,4.92578448306543,28.449,380.123,411.951
"GateHouse Media, Inc.",11,D: Manufacturing,271,"27 Printing, Publishing, And Allied Industries",2711,voluntary,2013,2012-12-30,490.964,34.185,43.3314062626789,74.218,469.766,1303.925
Gaylord Container Corp,11,D: Manufacturing,265,26 Paper and Allied Products,2653,voluntary,1992,1991-09-30,723.8,23.6,49.5711903750885,79.5,965.7,989.0
"GC Companies, Inc.",11,I: Services,783,78 Motion Pictures,7830,voluntary,2000,1999-10-31,386.15,-18.376,-31.3444923678161,-2.12,375.607,199.148
Genco Shipping & Trading Limited,11,"E: Transportation, Communications, Electric, Gas",441,44 Water Transportation,4412,voluntary,2014,2013-12-31,227.464,-69.61,-87.1466861122359,68.016,2957.254,1648.449
General Homes Corp.,11,C: Construction,152,15 Building Construction General Contractors And Operative Builders,1521,involuntary,1990,1989-09-30,258.46,-9.774,-22.246118696319,-6.904,339.49,488.001
General Maritime Corporation,11,"E: Transportation, Communications, Electric, Gas",441,44 Water Transportation,4412,voluntary,2011,2010-12-31,387.161,-5.171,-6.78396891216903,80.916,1781.785,1449.739
General Motors Corporation,11,D: Manufacturing,371,37 Transportation Equipment,3711,voluntary,2009,2008-12-31,148979.0,-11982.0,-16486.8875938804,-2051.0,91047.0,176387.0
"Genesis Health Ventures, Inc.",11,I: Services,805,80 Health Services,8051,voluntary,2000,1999-09-30,1866.426,151.341,260.54266111949,226.296,2429.914,1842.0
